هنا ; Here
1. أنا هنا ; I am here.
2. هناك مطعم جيد ; There is a good restaurant here.
3. هل يمكنك القدوم هنا غدًا؟ ; Can you come here tomorrow?

جيد ; Good
1. العمل الجيد يتطلب الوقت والجهد ; Good work requires time and effort.
2. هذا كتاب جيد جداً ; This is a very good book.
3. يجب أن تكون لديك أصدقاء جيدين ; You should have good friends.

هدفع ; I will pay
1. هدفع الفاتورة ; I will pay the bill.
2. هل يمكنني هدفع ببطاقة الائتمان؟ ; Can I pay with a credit card?
3. سأهدفع نقدًا ; I will pay in cash.

اش ; What
1. اش أخبارك؟ ; What's your news? (How are you?)
2. اش هذا؟ ; What is this?
3. اش هو اسمك؟ ; What is your name?

كاش ; Cash
1. أنا أدفع بالكاش ; I pay in cash.
2. هل تقبلون الدفع بالكاش؟ ; Do you accept cash payments?
3. يجب أن تكون عندي نقود كاش ; I need to have cash on hand.

أنا ; I
1. أنا أحب السفر ; I love to travel.
2. أنا طالب في الجامعة ; I am a student at the university.
3. أنا هنا لمساعدتك ; I am here to help you.

عايز ; Want
1. أنا عايز كوب قهوة ; I want a cup of coffee.
2. هل عايز تنضف الغرفة؟ ; Do you want to clean the room?
3. عايز تساعدني في هذا المشروع؟ ; Do you want to help me with this project?

أغن ; Sing
1. أحب أن أغني في الحفلات ; I love to sing at parties.
2. هل تستطيع أن تغني لنا أغنية؟ ; Can you sing us a song?
3. يُعتبر أحمد من أفضل مغنيي البوب ; Ahmed is considered one of the best pop singers.

الأغنية ; Song
1. هذه الأغنية جميلة جداً ; This song is very beautiful.
2. لديهم مجموعة رائعة من الأغاني ; They have a wonderful collection of songs.
3. أحب أن أستمع إلى الأغاني القديمة ; I like to listen to old songs.

قدر ; Can
1. هل تقدر أن تساعدني؟ ; Can you help me?
2. لا أعتقد أنه يمكنني الحضور ; I don't think I can attend.
3. يجب أن تثق بنفسك وتعرف ما تقدر على فعله ; You should believe in yourself and know what you can do.

تقدر ; Able
1. أنت تقدر على القيام بذلك ; You are able to do it.
2. هل تقدر أن تفعل ذلك لي؟ ; Can you do that for me?
3. يجب أن تكون قادرًا على التحدث بالإنجليزية ; You should be able to speak English.

شغل ; Work
